LEGACY_TEXT_ID	TEXT_ID	TEXT_OBJECT	TEXT_ID_TXT_GBL	TEXT_ID_TXT_LCL	DI_TIMESTAMP										
/QUE	/QUE	/SMB98/TXT	Business Question		2018.06.19 05:33:47										
0000	0000	CODPSPEC	Process reference text	Prozeßvorgabetext	2018.06.19 05:33:47										
0000	0000	HR_PS_CZ_1			2018.06.19 05:33:47										
0000	0000	KLAT	Class long text	Klassenlangtext	2018.06.19 05:33:47										
0000	0000	MSUBST	Restricted Interchangeability	bedingte Austauschbarkeit	2018.06.19 05:33:47										
0000	0000	NBAU	Texts on building unit	Texte Bauliche Einheit	2018.06.19 05:33:47										
0000	0000	NBEW	Comment on patient event	Bemerkung zur Bewegung	2018.06.19 05:33:47										
0000	0000	NDIA	Comment on diagnosis	Bemerkung zur Diagnose	2018.06.19 05:33:47										
0000	0000	NORG	Text org. unit	Text Org.Einheit	2018.06.19 05:33:47										
0000	0000	NPAT	Texts on patient	Texte Patient	2018.06.19 05:33:47										
0000	0000	NTXT	Comment NTXT	Bemerkung NTXT	2018.06.19 05:33:47										
0000	0000	TNABG	Texts     Employer	Texte     Arbeitgeber	2018.06.19 05:33:47										
0000	0000	TNDEB	Texts     Customer	Texte     Debitor	2018.06.19 05:33:47										
0000	0000	TNGPA	Texts     Gen.business partner	Texte     allg. G.partner	2018.06.19 05:33:47										
0000	0000	TNKRH	Texts     Hospital	Texte     Krankenhaus	2018.06.19 05:33:47										
0000	0000	TNKTR	Texts     Cost object	Texte     Kostenträger	2018.06.19 05:33:47										
0000	0000	TNPER	Texts     Person	Texte     Person	2018.06.19 05:33:47										
0000	0000	TNTPT	Tariff item texts	Texte Tarifposition	2018.06.19 05:33:47										
0001	0001	/ACCGO/UI1			2018.06.19 05:33:47										
0001	0001	/SCWM/DLVH	Form Header	Formularkopftext	2018.06.19 05:33:47										
0001	0001	/SCWM/DLVI	Material Sales Text	Materialverkaufstext	2018.06.19 05:33:47										
0001	0001	/SEHS/TPP	EHS: TextID for Phrases	EHS: TextID zu Phrasen	2018.06.19 05:33:47										
0001	0001	AGRNEG	Comments by Sales Person	Anmerk. des Vertriebsbeauftr.	2018.06.19 05:33:47										
0001	0001	AKKP	Packing instruction	Packvorschrift	2018.06.19 05:33:47										
0001	0001	AMPL	Text for approved manuf. parts	Texte zul. Herstellerteile	2018.06.19 05:33:47										
0001	0001	APP-LETTER	Applicant correspondence	Bewerberkorrespondenz	2018.06.19 05:33:47										
0001	0001	APP-MAIL	Mail applicant action	Mail Bewerbervorgang	2018.06.19 05:33:47										
0001	0001	APP-NOTES	Notes on process	Notizen zum Vorgang	2018.06.19 05:33:47										
0001	0001	APP-OFFER	Publication text	Publikationstext	2018.06.19 05:33:47										
0001	0001	APP-SHPROF	Portrait of Applicant	Bewerberkurzportrait	2018.06.19 05:33:47										
0001	0001	ARCHIVE	Text for archiving session	Text zum Archivierungslauf	2018.06.19 05:33:47										
0001	0001	BELEG	Correspondence	Korrespondenz	2018.06.19 05:33:47										
0001	0001	BELEGECS	ECS Note	ECS Notiz	2018.06.19 05:33:47										
0001	0001	BPAR	General remarks	Allgemeine Notizen	2018.06.19 05:33:47										
0001	0001	BPAR_ALL	General remarks	Allgemeine Notizen	2018.06.19 05:33:47										
0001	0001	BUT000	Correspondence	Korrespondenz	2018.06.19 05:33:47										
0001	0001	CACSOAWL	Note for Worklist	Notiz zum Arbeitsvorrat	2018.06.19 05:33:47										
0001	0001	CLIPBOARD	Clipboard 1	Benutzerablage_1	2018.06.19 05:33:47										
0001	0001	CMM_PEV_AD	Long Text	Langtext	2018.06.19 05:33:47										
0001	0001	CMS_AST	General Notes Asset	Allg. Notizen z. Vermögenswert	2018.06.19 05:33:47										
0001	0001	CMS_CAG	General Notes	Allgemeine Notizen	2018.06.19 05:33:47										
0001	0001	CMS_DEV			2018.06.19 05:33:47										
0001	0001	CMS_OMS			2018.06.19 05:33:47										
0001	0001	CMS_RE	General Notes Real Estate	Allgemeine Notizen Immobilien	2018.06.19 05:33:47										
0001	0001	CMS_SEC	General Notes Securities	Allgemeine Notizen Wertpapiere	2018.06.19 05:33:47										
0001	0001	CMX_XS	Default	default	2018.06.19 05:33:47										
0001	0001	CODPSPEC	Message Text	Meldungstext	2018.06.19 05:33:47										
0001	0001	COPOC	CL_LONGTEXT_VALUE_POC	CL_LONGTEXT_VALUE_POC	2018.06.19 05:33:47										
0001	0001	C_SHEP_TDF	EHS: Text ID for Value Assgmt	PP-SHE: TextID für Bewertung	2018.06.19 05:33:47										
0001	0001	C_SHER_TDH	EHS: Text ID for Value Files	EHS: TextID für Value-Files	2018.06.19 05:33:47										
0001	0001	C_SHES_ACH	IHS Safety Measure Description	Arbeitsschutzmassnahme Beschr.	2018.06.19 05:33:47										
0001	0001	C_SHES_ANC	Remark for Standardized Crit.	Bemerkung Normierte Kriterien	2018.06.19 05:33:47										
0001	0001	C_SHES_DGE	Header Text	Kopftext	2018.06.19 05:33:47										
0001	0001	C_SHES_ERH	Result of Risk Assessment	Ergebnis der GefBeurteilung	2018.06.19 05:33:47										
0001	0001	C_SHES_EVA	EHS: Info for Internal Use	EHS: Info interner Gebrauch	2018.06.19 05:33:47										
