LEGACY_COST_ELEMENT	CHART_OF_ACCOUNTS	COST_ELEMENT	COST_ELEMENT_TXT_GBL	COST_ELEMENT_TXT_LCL	DI_TIMESTAMP										
0051700000	YCOA	0051700000	CONSPTN REPAIR MAT	VERBRAUCH REPARATURM	2017.07.06 08:56:49										
0051950000	YCOA	0051950000	CONSPTN SUBCONTR	VERBRAUCH LOHNBEARB	2017.07.06 08:56:49										
0052001000	YCOA	0052001000	LOSS INV VAR-RAW/TR	AUFW INV-DIFF R/H	2017.07.06 08:56:49										
0052003000	YCOA	0052003000	LOSS INV VAR SF&FIN	AUFW INV-DIFF HF/FE	2017.07.06 08:56:49										
0052011000	YCOA	0052011000	LOSS INV TRSF-RAW/TR	AUFW BESTUMLAG R/H	2017.07.06 08:56:49										
0052013000	YCOA	0052013000	LOSS INV TRSF SF&FIN	AUFWAND UMLAG. HF/FE	2017.07.06 08:56:49										
0094228000	YCOA	0094228000	COPA ASSESSMENTS-TAX	CO-PA UML. - STEUERN	2017.07.06 08:56:49										
0094229000	YCOA	0094229000	COPA ASSESSMENTS-CAS	CO-PA UMLAGEN SKONTO	2017.07.06 08:56:49										
0094229900	YCOA	0094229900	COPA ASSESSMENTS-CON	CO-PA UMLAGEN - BER.	2017.07.06 08:56:49										
0094301000	YCOA	0094301000	MACHINE HOURS 1	MASCHINENSTUNDEN 1	2017.07.06 08:56:49										
0094302000	YCOA	0094302000	MACHINE HOURS 2	MASCHINENSTUNDEN 2	2017.07.06 08:56:49										
0094303000	YCOA	0094303000	SETUP PRODUCTION	RÜSTEN	2017.07.06 08:56:49										
0075009900	YCOA	0075009900	OTHER COMPANY TAXES	SONST. BETR. STEUERN	2017.07.06 08:56:49										
0092100000	YCOA	0092100000	SETTL.TECHNICAL RA	ABRECHN TECHN ERGERM	2017.07.06 08:56:49										
0092101000	YCOA	0092101000	SETTL.MATERIAL	ABR. MATERIALKOSTEN	2017.07.06 08:56:49										
0092101500	YCOA	0092101500	SETTL. REWORK	ABR. NACHARBEIT	2017.07.06 08:56:49										
0092101800	YCOA	0092101800	SETTL.R&D	ABRECHNUNG F&E	2017.07.06 08:56:49										
0092101900	YCOA	0092101900	SETTL.SALES ORDER	ABR. KUNDENAUFTRAG	2017.07.06 08:56:49										
0092102000	YCOA	0092102000	SETTL.THIRDPARTYMAT	ABR. STRECKENMAT.	2017.07.06 08:56:49										
0092103000	YCOA	0092103000	SETTL.INTERNALACTIV	ABR. INTERNE KOSTEN	2017.07.06 08:56:49										
0092104000	YCOA	0092104000	SETTL.EXTERSERV	ABRECH. EXT. SERVICE	2017.07.06 08:56:49										
0092105000	YCOA	0092105000	SETTL.SERVREV	ABR. SERVICEERLÖSE	2017.07.06 08:56:49										
0092105100	YCOA	0092105100	PERSONNEL COSTS	PERSONALKOSTEN	2017.07.06 08:56:49										
0092105200	YCOA	0092105200	SP/SERV/EXT MAT CON	VBR ET/LEIST/FRMDMAT	2017.07.06 08:56:49										
0092105300	YCOA	0092105300	OTHER COSTS	SONSTIGE KOSTEN	2017.07.06 08:56:49										
0092105400	YCOA	0092105400	SECONDARY COSTS	SEKUNDÄRKOSTEN	2017.07.06 08:56:49										
0092105500	YCOA	0092105500	SETTL.SERVCOST	ABR. SERVICEKOSTEN	2017.07.06 08:56:49										
0092110000	YCOA	0092110000	SETTL.REVENUE-UBB	ABR. ERLÖSE EINHBAS.	2017.07.06 08:56:49										
0092111000	YCOA	0092111000	SETTL.COSTS-UBB	ABR. KOSTEN EINHBAS.	2017.07.06 08:56:49										
0093100000	YCOA	0093100000	RES.ANAL.TECHNICAL	ERGEBNISERM. TECHNIK	2017.07.06 08:56:49										
0093111100	YCOA	0093111100	RES.ANAL.PRIM.COSTS	ERGERM. PRIMÄRKOSTEN	2017.07.06 08:56:49										
0093112000	YCOA	0093112000	RES.ANAL.COPRESERV.	RÜCKSTELL PRIMÄR	2017.07.06 08:56:49										
0093113000	YCOA	0093113000	RES.ANAL.SEC.COSTS	SEKUNDÄRKOSTEN	2017.07.06 08:56:49										
0093114000	YCOA	0093114000	RES.ANAL.COSRESERV.	RÜCKSTELL SEKUNDÄR	2017.07.06 08:56:49										
0093115000	YCOA	0093115000	RES.ANAL.OVH.COSTS	ERGEBNISERMITTL. GK	2017.07.06 08:56:49										
0093116000	YCOA	0093116000	RES.ANAL.OVH RESERV	ERGERMTTLG GK RÜCKL.	2017.07.06 08:56:49										
0094111000	YCOA	0094111000	OH MATERIAL	GK MATERIAL	2017.07.06 08:56:49										
0094112000	YCOA	0094112000	OH PRODUCTION	GK FERTIGUNG	2017.07.06 08:56:49										
0094113000	YCOA	0094113000	OH ADMINISTRATION	GK VERWALTUNG	2017.07.06 08:56:49										
0052073000	YCOA	0052073000	PRICE DIFFERENC RSUV	PREISDIFFERENZ RSUV	2017.07.06 08:56:49										
0094114000	YCOA	0094114000	OH SALES	GK VERTRIEB	2017.07.06 08:56:49										
0063006000	YCOA	0063006000	TELEPHONE AND OTHER	TEL. UND SONSTIGES	2017.07.06 08:56:49										
0063007000	YCOA	0063007000	FAX AND INTERNET	FAX UND INTERNET	2017.07.06 08:56:49										
0063008000	YCOA	0063008000	BUILDING PERSER	GEBÄUDE - PER. SERV.	2017.07.06 08:56:49										
0063009000	YCOA	0063009000	LEASING EXPENSE	LEASINGAUFWAND	2017.07.06 08:56:49										
0064001000	YCOA	0064001000	DEP.EXP. BUILDINGS	AFA GRUND GEBÄUDE	2017.07.06 08:56:49										
0064002000	YCOA	0064002000	DEP.EXP. MACH.& EQU.	AFA TECHN ANLA MASCH	2017.07.06 08:56:49										
0064003000	YCOA	0064003000	DEP.EXP. BUILD.& IMP	ABSCHAUFW. GEBEINR.	2017.07.06 08:56:49										
0064004000	YCOA	0064004000	DEP.EXP. MOTOR VEH.	AFA FAHRZEUGE	2017.07.06 08:56:49										
0064005000	YCOA	0064005000	DEP.EXP. OFFICE EQU.	AFA BETR U GESCHAUST	2017.07.06 08:56:49										
0064006000	YCOA	0064006000	DEP.EXP. FURNITURE	AFA MÖBEL	2017.07.06 08:56:49										
0064007000	YCOA	0064007000	DEP.EXP. COMP.HD	AFA COMP-HW	2017.07.06 08:56:49										
0064008000	YCOA	0064008000	DEP.EXP. COMP.SW	AFA COMP-SW	2017.07.06 08:56:49										
0064020000	YCOA	0064020000	DEP.EXP. L.V.A	AFA GWG	2017.07.06 08:56:49										
0064021000	YCOA	0064021000	DEP.EXP. INTANGIBLES	AFA IMMATERIELLE ANL	2017.07.06 08:56:49										
0064030000	YCOA	0064030000	UNSCHED.DEP.EXPENSE	AUFWAND AUßERPL. AFA	2017.07.06 08:56:49										
0064031000	YCOA	0064031000	DPR EXP(BK>TX)-ED	AFA(SL>ST)-AO.ABSCHR	2017.07.06 08:56:49										
0064032000	YCOA	0064032000	DPR EXP(BK<TX)-ED	AFA(SL<ST)-AO.ABSCHR	2017.07.06 08:56:49										
0064040000	YCOA	0064040000	SCHED.DEP. FIXED.ASS	PLANM. ABSCHR. <0	2017.07.06 08:56:49										
0064043000	YCOA	0064043000	AMORTIZATION EXPENSE	ABSCHREIB. G/F-WERT	2017.07.06 08:56:49										
0064050000	YCOA	0064050000	ESTIMATED DEPRECIATI	KALKUL. AFA (CO)	2017.07.06 08:56:49										
0064060000	YCOA	0064060000	ACCRUED INTEREST-CO	KALKUL. ZINSEN - CO	2017.07.06 08:56:49										
0065000000	YCOA	0065000000	POSTAGE AND SHIPPING	PORTO UND VERSAND	2017.07.06 08:56:49										
0065000500	YCOA	0065000500	NON PROD MAT CONSPTN	MATVERBR O.PRODKTION	2017.07.06 08:56:49										
0065001000	YCOA	0065001000	PURCHASED SERVICES	BEZOGENE LEISTUNGEN	2017.07.06 08:56:49										
0052543000	YCOA	0052543000	GAIN PRC DIF (PRY)	ERTRAG PRDIFF PRY	2017.07.06 08:56:49										
0065002000	YCOA	0065002000	ADVERT.& SALES COSTS	WERBE-/ VERTRETERKO.	2017.07.06 08:56:49										
0065003000	YCOA	0065003000	VEHICLE COSTS	KRAFTFAHRZEUGKOSTEN	2017.07.06 08:56:49										
0065004000	YCOA	0065004000	DONATIONS	SPENDEN	2017.07.06 08:56:49										
0065008000	YCOA	0065008000	PURCHASED SVCS-TIME	BEZOG DIENSTL - ZEIT	2017.07.06 08:56:49										
