LEGACY_GL_ACCOUNT_NUMBER	GL_ACCOUNT_NUMBER	CHART_OF_ACCOUNTS	GL_ACCOUNT_NUMBER_TXT_GBL	GL_ACCOUNT_NUMBER_TXT_LCL	DI_TIMESTAMP										
0017004000	0017004000	YCOA	Accumulated Depreciation - Motor Vehicles	Wertberichtigungen Fuhrpark	2018.06.19 05:33:47										
0017005000	0017005000	YCOA	Accumulated Depreciation - Office Equipment	Wertberichtigungen Betriebs-/Geschäftsausstattung	2018.06.19 05:33:47										
0017006000	0017006000	YCOA	Accumulated Depreciation - Furniture and Fixtures	Wertberichtigungen Büroeinrichtungen	2018.06.19 05:33:47										
0017007000	0017007000	YCOA	Accumulated Depreciation - Computer Hardware	Wertberichtigungen Computer-Hardware	2018.06.19 05:33:47										
0017008000	0017008000	YCOA	Accumulated Depreciation - Computer Software	Wertberichtigungen Computer-Software	2018.06.19 05:33:47										
0017009000	0017009000	YCOA	Accumul. Depreciation - Assets under Construction	Wertberichtigung - Anlagen im Bau	2018.06.19 05:33:47										
0017020000	0017020000	YCOA	Accumulated Depreciation - Low Value Assets	Wertberichtigungen Geringwertige Wirtschaftsgüter	2018.06.19 05:33:47										
0017030000	0017030000	YCOA	Accumulated Depreciation - Exceptional Depr	Wertberichtigungen außerordentliche Abschreibung	2018.06.19 05:33:47										
0017050000	0017050000	YCOA	Accumulated Depreciation - Land Improvements (ROU)	Wertberichtigung - Bodenerschließungen (ROU)	2018.06.19 05:33:47										
0017051000	0017051000	YCOA	Accumulated Depreciation - Buildings (ROU)	Wertberichtigung - Gebäude (ROU)	2018.06.19 05:33:47										
0017054000	0017054000	YCOA	Accumulated Depreciation - Motor Vehicles (ROU)	Wertberichtigung - Fuhrpark (ROU)	2018.06.19 05:33:47										
0018010000	0018010000	YCOA	Investment Subsidiaries	Beteiligung Tochtergesellschaften	2018.06.19 05:33:47										
0017052000	0017052000	YCOA	Accumulated Depr'n - Machinery & Equipment (ROU)	Wertbericht. - techn. Anlagen und Maschinen (ROU)	2018.06.19 05:33:47										
0017055000	0017055000	YCOA	Accumulated Depreciation - Office Equipment (ROU)	Wertberichtigung - Geschäftsausstattung (ROU)	2018.06.19 05:33:47										
0017056000	0017056000	YCOA	Accumulated Depr'n Fixtures Fittings (ROU)	Wertberichtigung - Betriebs-/Geschäftsausst. (ROU)	2018.06.19 05:33:47										
0017057000	0017057000	YCOA	Accumulated Depreciation - Computer Hardware (ROU)	Wertberichtigung - Computer-Hardware (ROU)	2018.06.19 05:33:47										
0018020000	0018020000	YCOA	Other Long Term Investments	Sonstige Beteiligungen	2018.06.19 05:33:47										
0019110000	0019110000	YCOA	Loans Other - Long Term	Sonstige Darlehen - langfristig	2018.06.19 05:33:47										
0019210000	0019210000	YCOA	Other Receivables > 1 year	Sonstige Forderungen Restlaufzeit > 1 Jahr	2018.06.19 05:33:47										
0019310000	0019310000	YCOA	Internal Development	Eigenentwicklung	2018.06.19 05:33:47										
0019320000	0019320000	YCOA	Intangible Assets	Immaterielle Vermögensgegenstände	2018.06.19 05:33:47										
0019330000	0019330000	YCOA	Goodwill	Geschäfts- oder Firmenwert	2018.06.19 05:33:47										
0019410000	0019410000	YCOA	Accumulated amortization - Internal Development	Wertberichtigungen Eigenentwicklung	2018.06.19 05:33:47										
0019420000	0019420000	YCOA	Accumulated Amortization - Intangible Assets	Wertberichtigungen immaterielle Anlagen	2018.06.19 05:33:47										
0019430000	0019430000	YCOA	Amortization - Goodwill	Wertberichtigungen Geschäfts- oder Firmenwert	2018.06.19 05:33:47										
0021100000	0021100000	YCOA	Payables Domestic	Verbindlichkeiten Inland	2018.06.19 05:33:47										
0021100100	0021100100	YCOA	Payables Domestic - One Time Accounts	Verbindlichkeiten Inland - CpD-Konten	2018.06.19 05:33:47										
0021100200	0021100200	YCOA	Payables Domestic due within 1-5 Years	Verbindlichkeiten Inland Restlaufzeit 1-5 Jahre	2018.06.19 05:33:47										
0021100300	0021100300	YCOA	Payables Domestic due > 5 Years	Verbindlichkeiten Inland Restlaufzeit > 5 Jahre	2018.06.19 05:33:47										
0021102000	0021102000	YCOA	Payables Domestic Adjustments	Berichtigungen Verbindlichkeiten Inland	2018.06.19 05:33:47										
0021320000	0021320000	YCOA	Lease Out Clearing Account (ROU)	Mietvertrag - Verrechnungskonto (ROU)	2018.06.19 05:33:47										
0021350000	0021350000	YCOA	Clearing Invoice Reduction	Verrechnung Rechnungskürzung (Retail)	2018.06.19 05:33:47										
0021501000	0021501000	YCOA	Accrued Net Payroll	Auszuzahlende Löhne und Gehälter	2018.06.19 05:33:47										
0021102100	0021102100	YCOA	Credit adjustm. due to foreign currency valuation	Habenanpassung aufgr. von Fremdwährungsbewertung	2018.06.19 05:33:47										
0021105000	0021105000	YCOA	Travel Expenses Payable	Auszuzahlende Reisekosten-Erstattungen	2018.06.19 05:33:47										
0021110000	0021110000	YCOA	Goods Received/Invoice Received Consignt/Pipeline	Wareneingang/Rechnungseingang Konsignat./Pipeline	2018.06.19 05:33:47										
0021120000	0021120000	YCOA	Goods Received/Invoice Received	Wareneingang/Rechnungseingang	2018.06.19 05:33:47										
0021121000	0021121000	YCOA	GR/IR Sett.transferred (material ledger)	Übernommene WE/RE Verrechnung Material Ledger	2018.06.19 05:33:47										
0021122000	0021122000	YCOA	Goods Received / Invoice Received Adjustment	Korrektur Wareneingang/Rechnungseingang	2018.06.19 05:33:47										
0021180000	0021180000	YCOA	Customers with a Credit Balance	Kreditorische Debitoren	2018.06.19 05:33:47										
0021190000	0021190000	YCOA	Down Payments-Customers (sp ind A)	Erhaltene Anzahlungen	2018.06.19 05:33:47										
0021190100	0021190100	YCOA	Down Payments received due within 1-5 Years	Erhaltene Anzahlungen mit Restlaufzeit 1-5 Jahre	2018.06.19 05:33:47										
0021190200	0021190200	YCOA	Down Payments received due > 5 Years	Erhaltene Anzahlungen mit Restlaufzeit > 5 Jahre	2018.06.19 05:33:47										
0021191000	0021191000	YCOA	Down Payment Requests-Customers (Sp Ind F)	Anzahlungsanforderungen Debitoren	2018.06.19 05:33:47										
0021191100	0021191100	YCOA	Contract Liability for Down Payments		2018.06.19 05:33:47										
0021191200	0021191200	YCOA	Contract Liability for Down Payment Requests		2018.06.19 05:33:47										
0021191500	0021191500	YCOA	Tax on sls/purch-settlement of Customer Down Pyts	MWS Verrechnung erhaltene Kundenanzahlungen	2018.06.19 05:33:47										
0021192000	0021192000	YCOA	Adjustment account down payments received	Korrekturkonto Erhaltene Anzahlungen	2018.06.19 05:33:47										
0021200000	0021200000	YCOA	Payables Foreign	Verbindlichkeiten Ausland	2018.06.19 05:33:47										
0021200100	0021200100	YCOA	Payables Foreign - One Time Accounts	Verbindlichkeiten Ausland - CpD-Konten	2018.06.19 05:33:47										
0021200300	0021200300	YCOA	Payables Foreign due > 5 years	Verbindlichkeiten Ausland Restlaufz. > 5 Jahre	2018.06.19 05:33:47										
0021202000	0021202000	YCOA	Payables Foreign Adjustments	Berichtigung Verbindlichkeiten Ausland	2018.06.19 05:33:47										
0021300000	0021300000	YCOA	Payables affiliated Companies	Verbindlichkeiten verbundene Unternehmen	2018.06.19 05:33:47										
0021310000	0021310000	YCOA	Accounts Payable - BoE Payable	Schuldwechsel	2018.06.19 05:33:47										
0021200200	0021200200	YCOA	Payables Foreign due within 1-5 years	Verbindlichkeiten Ausland Restlaufz. 1-5 Jahre	2018.06.19 05:33:47										
0021300200	0021300200	YCOA	Payables affiliated Companies due 1-5 Years	Verbindl. verbundene Untern. Restlaufz. 1-5 Jahre	2018.06.19 05:33:47										
0021300300	0021300300	YCOA	Payables affiliated Companies due > 5 years	Verbindl. verbundene Untern. Restlaufz. > 5 Jahre	2018.06.19 05:33:47										
0021302000	0021302000	YCOA	Payables affiliated Companies Adjustments	Berichtigungen Verbindlichkeiten verbund. Untern.	2018.06.19 05:33:47										
0021303000	0021303000	YCOA	Payables vs affiliated Companies (no recon acct)	Verbindlich. geg. verb. Unternehmen (kein AbstKto)	2018.06.19 05:33:47										
0021450000	0021450000	YCOA	Offsett. of Travel Expenses paid by Employer	Reisekostenverrechnung - vom Arbeitgeber bezahlt	2018.06.19 05:33:47										
0021460000	0021460000	YCOA	Dividends payable to owners, partners	Verbindlichkeiten ggü Gesellschaftern (Dividende)	2018.06.19 05:33:47										
0021501100	0021501100	YCOA	Bonus provision Previous year	Bonusrückstellung Vorjahr	2018.06.19 05:33:47										
0021501200	0021501200	YCOA	13th month salary provision	Rückstellung für 13. Monatsgehalt	2018.06.19 05:33:47										
0021501300	0021501300	YCOA	Holiday Pay	Urlaubsgeld	2018.06.19 05:33:47										
0021501400	0021501400	YCOA	Holiday Pay Provision Current year	Urlaubsgeldrückstellung aktuelles Jahr	2018.06.19 05:33:47										
0021501500	0021501500	YCOA	Holiday Pay Provision previous year	Urlaubsgeldrückstellung Vorjahr	2018.06.19 05:33:47										
0021502000	0021502000	YCOA	Payroll Taxes	Abzuführende Lohn-und Kirchensteuer	2018.06.19 05:33:47										
0021503000	0021503000	YCOA	Payroll - Social Security	Verbindlichkeiten ggü Sozialversicherungsträgern	2018.06.19 05:33:47										
0021505000	0021505000	YCOA	Payroll - Savings Plan	Abzuführende Vermögensbildung	2018.06.19 05:33:47										
0021508000	0021508000	YCOA	Payroll - Garnishment	Abzuführende Pfändungen	2018.06.19 05:33:47										
0021509000	0021509000	YCOA	Payroll - Workers' Compensation Association	Verbindlichkeiten gegenüber Berufsgenossenschaft	2018.06.19 05:33:47										
0021512000	0021512000	YCOA	Payroll - EE Benefit	Leistungen Arbeitgeber	2018.06.19 05:33:47										
0021516000	0021516000	YCOA	Payroll - ER Benefit	Leistungen Arbeitnehmer	2018.06.19 05:33:47										
0021517000	0021517000	YCOA	Other Personnel Costs	Sonstige Personalaufwendungen	2018.06.19 05:33:47										
0021533000	0021533000	YCOA	Tax - PIS to Pay (BR)	Steuer - PIS zu zahlen (BR)	2018.06.19 05:33:47										
0021518000	0021518000	YCOA	Document split acct (trip costs co.code clrg HR)	Belegsplittkonto (Reiseko.Bukrs.verrechnung HR)	2018.06.19 05:33:47										
0021519000	0021519000	YCOA	Payroll Allocation	Lohn- und Gehaltsverrechnungskonto	2018.06.19 05:33:47										
0021520000	0021520000	YCOA	IPI to Recover (BR)	IPI zu erstatten (BR)	2018.06.19 05:33:47										
0021521000	0021521000	YCOA	ICMS to Recover (BR)	ICMS zu erstatten (BR)	2018.06.19 05:33:47										
0021522000	0021522000	YCOA	IR to Recover (BR)	IR zu erstatten (BR)	2018.06.19 05:33:47										
0021523000	0021523000	YCOA	TAX Transfer Plant (BR)	Steuer Transfer zwischen Werk (BR)	2018.06.19 05:33:47										
0021524000	0021524000	YCOA	PIS to Recover (BR)	PIS zu erstatten (BR)	2018.06.19 05:33:47										
0021525000	0021525000	YCOA	ISS to Recover (BR)	ISS zu erstatten (BR)	2018.06.19 05:33:47										
0021526000	0021526000	YCOA	COFINS to Recover (BR)	COFINS zu erstatten (BR)	2018.06.19 05:33:47										
0021527000	0021527000	YCOA	CSLL to Recover (BR)	CSLL zu erstatten (BR)	2018.06.19 05:33:47										
0021530000	0021530000	YCOA	Tax - ICMS to Pay (BR)	Steuer - ICMS zu zahlen (BR)	2018.06.19 05:33:47										
0021530001	0021530001	YCOA	ICMS to Recover - UF Origem (Partilha) (BR)	ICMS zu erstatten - UF Origem (Partilha) (BR)	2018.06.19 05:33:47										
0021530002	0021530002	YCOA	ICMS to Recover - UF Destino (Partilha) (BR)	ICMS zu erstatten - UF Destino (Partilha) (BR)	2018.06.19 05:33:47										
0021530003	0021530003	YCOA	FCP / FECOEP To Recover (Partilha) (BR)	FCP / FECOEP zu erstatten (Partilha) (BR)	2018.06.19 05:33:47										
0021530004	0021530004	YCOA	ICMS - ST (Substituição Tributária) (BR)	ICMS - ST (Substituicão Tributaria) (BR)	2018.06.19 05:33:47										
0021530005	0021530005	YCOA	FCP to Pay to Destination State (BR)	FCP - an Zielstaat zu zahlen (BR)	2018.06.19 05:33:47										
0021530006	0021530006	YCOA	FCP to Pay to State of Invoice Issuer (BR)	FCP - an Staat d. Rechnungsstellers zu zahlen (BR)	2018.06.19 05:33:47										
0021530007	0021530007	YCOA	ICMS Complementary (BR)	ICMS komplementär (BR)	2018.06.19 05:33:47										
0021530008	0021530008	YCOA	ICMS clearing (BR)	ICMS Verrechnung (BR)	2018.06.19 05:33:47										
0021531000	0021531000	YCOA	Tax - IPI to Pay (BR)	Steuer - IPI zu zahlen (BR)	2018.06.19 05:33:47										
0021532000	0021532000	YCOA	Tax - ISS to Pay (BR)	Steuer - ISS zu zahlen (BR)	2018.06.19 05:33:47										
0021532001	0021532001	YCOA	ISS WHT to Pay (BR)	ISS: Zu zahlende QST (BR)	2018.06.19 05:33:47										
0021533001	0021533001	YCOA	PIS WHT to Pay (BR)	PIS: Zu zahlende Quellensteuer (BR)	2018.06.19 05:33:47										
0021534000	0021534000	YCOA	Tax - IRF General to Pay (PIS/COFINS/CSLL/IR) (BR)	Str - IFR allg zu zahlen (PIS/COFINS/CSLL/IR) (BR)	2018.06.19 05:33:47										
0021535000	0021535000	YCOA	Tax - COFINS to Pay (BR)	Steuer - COFINS zu zahlen (BR)	2018.06.19 05:33:47										
0021535001	0021535001	YCOA	COFINS WHT to Pay (BR)	COFINS: Zu zahlende QST (BR)	2018.06.19 05:33:47										
0021536000	0021536000	YCOA	Tax - IRRF - Contracted Services (BR)	Steuer - IRRF - vertragliche Leistungen (BR)	2018.06.19 05:33:47										
0021537000	0021537000	YCOA	Tax - CSLL to Pay (BR)	Steuer - CSLL zu zahlen (BR)	2018.06.19 05:33:47										
0021538000	0021538000	YCOA	Tax Other - to Pay (BR)	Sonstige Steuer - zu zahlen (BR)	2018.06.19 05:33:47										
0021539000	0021539000	YCOA	INSS Contractors to Pay (BR)	INSS Auftragnehmer zu zahlen (BR)	2018.06.19 05:33:47										
0021539001	0021539001	YCOA	INSS FreeLancer to Pay (BR)	INSS: Zu bezahlender Freiberufler (BR)	2018.06.19 05:33:47										
0021539002	0021539002	YCOA	INSS on Wage to Pay (BR)	Zu zahl. INSS für Lohn (BR)	2018.06.19 05:33:47										
0021539003	0021539003	YCOA	FGTS to Pay (BR)	Zu zahl. FGTS (BR)	2018.06.19 05:33:47										
0021539100	0021539100	YCOA	Vacation Accrual (BR)	Urlaubsrückstellungen (BR)	2018.06.19 05:33:47										
0021539101	0021539101	YCOA	13 Wage Accrual (BR)	Rückstellungen für das 13. Gehalt (BR)	2018.06.19 05:33:47										
0021539102	0021539102	YCOA	INSS - Vacation Accrual (BR)	INSS: Urlaubsrückstellungen (BR)	2018.06.19 05:33:47										
0021539103	0021539103	YCOA	FGTS - 13 Wage Accrual (BR)	FGTS: Rückstellungen für 13. Gehalt (BR)	2018.06.19 05:33:47										
0021539104	0021539104	YCOA	Labor Contingency (BR)	Eventualverbindlichkeiten Personal (BR)	2018.06.19 05:33:47										
0021539105	0021539105	YCOA	Judicial Contingency (BR)	Eventualverbindlichkeit f. Gerichtsentscheid. (BR)	2018.06.19 05:33:47										
0021539106	0021539106	YCOA	INSS - 13 Wage Accrual (BR)	INSS: Rückstellungen für das 13. Gehalt (BR)	2018.06.19 05:33:47										
0021539107	0021539107	YCOA	FGTS - Vacation Accrual (BR)	FGTS: Urlaubsrückstellungen (BR)	2018.06.19 05:33:47										
0021540000	0021540000	YCOA	Other Clearing Account	Sonstiges Verrechnungskonto	2018.06.19 05:33:47										
0021599000	0021599000	YCOA	HR Month End Accruals	HR Abgrenzungen Monatsende	2018.06.19 05:33:47										
0021600000	0021600000	YCOA	Reserve for Deferred Taxes	Abgrenzung für latente Steuern	2018.06.19 05:33:47										
0021603000	0021603000	YCOA	Withholding Tax	Quellensteuer	2018.06.19 05:33:47										
0021613000	0021613000	YCOA	Prepaid Tax for Creditable Withholding Tax	Vorausbezahlte Steuer für anrechenbare Quellenst.	2018.06.19 05:33:47										
0021613010	0021613010	YCOA	Tax Collected at Source Off-setting (IN)	Tax Collected at Source: Gegenbuchen (IN)	2018.06.19 05:33:47										
0021613011	0021613011	YCOA	Tax Collected at Source (IN)	Tax Collected at Source (IN)	2018.06.19 05:33:47										
0021613012	0021613012	YCOA	Tax Collected at Source SD (IN)	Tax Collected at Source SD (IN)	2018.06.19 05:33:47										
0021710000	0021710000	YCOA	Amortization - Prepayments	Vorleistungen Amortisation	2018.06.19 05:33:47										
0021720000	0021720000	YCOA	Other Payables (no recon acct)	Sonstige Verbindlichkeiten (kein Abstimmkonto)	2018.06.19 05:33:47										
0021720100	0021720100	YCOA	Guarantees received from Vendors	Erhaltene Bürgschaften Kreditoren	2018.06.19 05:33:47										
0021720200	0021720200	YCOA	Other Payables Adjustments	Sonstige Verbindlichkeitsberichtigungen	2018.06.19 05:33:47										
0021721000	0021721000	YCOA	Reserves for Unrealized Costs	Rückstellungen für fehlende Kosten	2018.06.19 05:33:47										
0021730000	0021730000	YCOA	Freight Clearing Account (MM)	Frachtverrechnung MM	2018.06.19 05:33:47										
0021735000	0021735000	YCOA	Delivery Costs Provision (MM)	Bezugsnebenkostenrückstellung (MM)	2018.06.19 05:33:47										
0021735500	0021735500	YCOA	Delivery Costs Clearing (MM)	Bezugsnebenkosten-Verrechnung (MM)	2018.06.19 05:33:47										
0021740000	0021740000	YCOA	Customs Duty Clearing Account (MM)	Zollverrechnung MM	2018.06.19 05:33:47										
0021745000	0021745000	YCOA	Customs Provision (MM)	Zollrückstellung (MM)	2018.06.19 05:33:47										
0021750000	0021750000	YCOA	Clearing Vendor Discounts - Net Method	Verrechnung Lieferantenskonti Nettoverfahren	2018.06.19 05:33:47										
0021751000	0021751000	YCOA	Clearing - Guarantees Received Vendors	Verrechnung erhalten Bürgschaften Kreditoren	2018.06.19 05:33:47										
0021760000	0021760000	YCOA	Freight Provision (MM)	Frachtrückstellung (MM)	2018.06.19 05:33:47										
0021770000	0021770000	YCOA	Accrued Volume Rebate	Bonusrückstellung	2018.06.19 05:33:47										
0021771000	0021771000	YCOA	Accrued Supplier Rebate		2018.06.19 05:33:47										
0021780000	0021780000	YCOA	Freight Provision SD	Frachtrückstellung SD	2018.06.19 05:33:47										
0021790000	0021790000	YCOA	Disposite Reserve SD	Rückstellungshinterlegung SD	2018.06.19 05:33:47										
0021814000	0021814000	YCOA	Sales - Future/Free Delivery	Verkauf - künftige/kostenfreie Lieferung	2018.06.19 05:33:47										
0021900000	0021900000	YCOA	Payment Request Clearing Account(TRM)	Zahlungsanforderung Verrechnungskonto (TRM)	2018.06.19 05:33:47										
0022000000	0022000000	YCOA	Output Tax (MWS)	Ausgangssteuer (MWS)	2018.06.19 05:33:47										
0022001000	0022001000	YCOA	Sales Tax Accrued (MW1) - State	Umsatzsteuer abgegrenzt (MW1) - Bundesstaat	2018.06.19 05:33:47										
0022001010	0022001010	YCOA	Use Tax Accrued MW1 - State (US)	Verbrauchsteuer abgegrenzt MW1 - Bundesstaat (US)	2018.06.19 05:33:47										
0022002000	0022002000	YCOA	Sales Tax Accrued (MW2) - County	Umsatzsteuer abgegrenzt (MW2) - Kreis	2018.06.19 05:33:47										
0022002010	0022002010	YCOA	Use Tax Accrued MW2 - County US	Verbrauchsteuer abgegrenzt MW2 - Kreis US	2018.06.19 05:33:47										
0022003000	0022003000	YCOA	Sales Tax Accrued (MW3) - City	Umsatzsteuer abgegrenzt (MW3) - Ort	2018.06.19 05:33:47										
0022003010	0022003010	YCOA	Use Tax Accrued MW3 - City US	Verbrauchsteuer abgegrenzt MW3 - Ort US	2018.06.19 05:33:47										
0022004000	0022004000	YCOA	Sales Tax Accrued (MW4) - Others	Umsatzsteuer abgegrenzt (MW4) - Sonstige	2018.06.19 05:33:47										
0022004010	0022004010	YCOA	Use Tax Accrued MW4 - Others US	Verbrauchsteuer abgegrenzt MW4 - Sonstige US	2018.06.19 05:33:47										
0022005000	0022005000	YCOA	GST Input Tax Credit Receivable (CA)	GST Vorsteuer Forderungen (CA)	2018.06.19 05:33:47										
0022005010	0022005010	YCOA	GST/HST Input Tax Credit Receivable Adjustment(CA)	Berichtigung GST Vorst Forderungen (CA)	2018.06.19 05:33:47										
0022005100	0022005100	YCOA	GST Output Tax Payable (CA)	GST Ausgangssteuer Verbindlichkeiten (CA)	2018.06.19 05:33:47										
0022005110	0022005110	YCOA	GST/HST Output Tax Payable Adjustment (CA)	Berichtigung GST AusSt Verbindlichkeiten (CA)	2018.06.19 05:33:47										
0022005200	0022005200	YCOA	PST Receivable (CA)	PST VorSt Forderg. (CA)	2018.06.19 05:33:47										
0022005210	0022005210	YCOA	PST Receivable Adjustment (CA)	Berichtigung PST Vorsteuer Forderungen (CA)	2018.06.19 05:33:47										
0022005300	0022005300	YCOA	PST Output Tax Payable (CA)	PST Ausgangssteuer Verbindlichkeiten (CA)	2018.06.19 05:33:47										
0022005400	0022005400	YCOA	HST Input Tax Credit Receivable (CA)	HST Vorsteuer Forderungen (CA)	2018.06.19 05:33:47										
0022005500	0022005500	YCOA	HST Output Tax Payable (CA)	HST Ausgangssteuer Verbindlichkeiten (CA)	2018.06.19 05:33:47										
0022005600	0022005600	YCOA	QST Input Tax Refund Receivable (CA)	QST Vorsteuer Forderungen (CA)	2018.06.19 05:33:47										
0022005310	0022005310	YCOA	PST Output Tax Payable Adjustment (CA)	Berichtigung PST AusSt Verbindlichkeiten (CA)	2018.06.19 05:33:47										
0022005610	0022005610	YCOA	QST Input Tax Refund Receivable Adjustment (CA)	Ber QST Vorsteuerrückerstattung Ford. (CA)	2018.06.19 05:33:47										
0022005700	0022005700	YCOA	QST Output Tax Payable (CA)	QST Ausgangssteuer Verbindlichkeiten (CA)	2018.06.19 05:33:47										
0022005710	0022005710	YCOA	QST Output Tax Payable Adjustment (CA)	Ber QST Ausgangssteuer Verbindlichkeiten (CA)	2018.06.19 05:33:47										
0022005800	0022005800	YCOA	Recapture of Input Tax Credit (CA)	Rückgewinnung Vorsteuer (CA)	2018.06.19 05:33:47										
0022005900	0022005900	YCOA	GST/HST Self-Assess (CA)	GST/HST Selbstveranlagung (CA)	2018.06.19 05:33:47										
0022005910	0022005910	YCOA	PST Self-Assess (CA)	PST Selbstveranlagung (CA)	2018.06.19 05:33:47										
0022006000	0022006000	YCOA	Import VAT delayed (reverse charge)	Verspätete Einfuhrumsatzsteuer (Reverse Charge)	2018.06.19 05:33:47										
0022006011	0022006011	YCOA	input VAT- deductible	Vorsteuer - abzugsfähig	2018.06.19 05:33:47										
0022006012	0022006012	YCOA	paid VAT	Gezahlte Umsatzsteuer	2018.06.19 05:33:47										
0022006013	0022006013	YCOA	trans input VAT	Übernahme Vorsteuer	2018.06.19 05:33:47										
0022006014	0022006014	YCOA	Tax exemption from export	Steuerbefreite Ausfuhr	2018.06.19 05:33:47										
0022006021	0022006021	YCOA	business tax	Unternehmenssteuer	2018.06.19 05:33:47										
0022006022	0022006022	YCOA	vehicle purchase tax payable	Abzuführende Fahrzeugerwerbsteuer	2018.06.19 05:33:47										
0022006023	0022006023	YCOA	output tax- luxury (MW2)	Ausgangssteuer - Luxus (MW2)	2018.06.19 05:33:47										
0022006024	0022006024	YCOA	additional education tax payable	Abzuführende Zusatzausbildungssteuer	2018.06.19 05:33:47										
0022006025	0022006025	YCOA	additional local education tax payable	Abzuführende Steuer für lokale Zusatzausbildung	2018.06.19 05:33:47										
0022006026	0022006026	YCOA	License tax for vehicles and vessels	Lizenzsteuer für Fahrzeuge und Schiffe	2018.06.19 05:33:47										
0022006031	0022006031	YCOA	resource tax payable	Abzuführende Ressourcensteuer	2018.06.19 05:33:47										
0022006041	0022006041	YCOA	land incremental value tax payable	Abzuführende Grundwertzuwachssteuer	2018.06.19 05:33:47										
0022006051	0022006051	YCOA	Real estate tax payable	Abzuführende Immobiliensteuer	2018.06.19 05:33:47										
0022006061	0022006061	YCOA	land usage tax payable	Abzuführende Landnutzungssteuer	2018.06.19 05:33:47										
0022006071	0022006071	YCOA	Individual income tax payable	Abzuführende individuelle Einkommensteuer	2018.06.19 05:33:47										
0022006081	0022006081	YCOA	Individual income tax withheld	Einbehaltene individuelle Einkommensteuer	2018.06.19 05:33:47										
0022006100	0022006100	YCOA	VAT Technical for Export Base, Credit (RU)	Umsatzsteuer technisch für Exportbasis, Haben (RU)	2018.06.19 05:33:47										
0022006101	0022006101	YCOA	VAT for Down-Payments Received (RU)	Umsatzsteuer für erhaltene Anzahlungen (RU)	2018.06.19 05:33:47										
0022006110	0022006110	YCOA	Luxury Tax VAT Out (ID)	Luxussteuer Umsatzsteuer Ausgang (ID)	2018.06.19 05:33:47										
0022007000	0022007000	YCOA	Export VAT	Ausfuhrumsatzsteuer	2018.06.19 05:33:47										
0022008000	0022008000	YCOA	VAT regularizations&out of scope (payables)	USt-Regelungen und nicht steuerbar (Verbindlichk.)	2018.06.19 05:33:47										
0022009000	0022009000	YCOA	Deferred Output tax > %	Latente Ausgangssteuer > %	2018.06.19 05:33:47										
0022009020	0022009020	YCOA	Deferred Output Taxes 0%	Latente Ausgangssteuer 0 %	2018.06.19 05:33:47										
0022009999	0022009999	YCOA	GST Base Account for Reverse Charge Mechanism (MY)	GST-Basiskonto für Reverse-Charge-Verfahren (MY)	2018.06.19 05:33:47										
0022010100	0022010100	YCOA	Domestic output VAT (reverse charge)	Ausgangssteuer Inland (Reverse Charge)	2018.06.19 05:33:47										
0022090000	0022090000	YCOA	Alterative Tax Payable  - UMS	Alternative Umsatzsteuer Zahllast  - UMS	2018.06.19 05:33:47										
0022090010	0022090010	YCOA	TDS Provision JV India (IN)	TDS Rückstellung JV Indien (IN)	2018.06.19 05:33:47										
0022090012	0022090012	YCOA	TDS Provision India (IN)	TDS Rückstellung Indien (IN)	2018.06.19 05:33:47										
0022090020	0022090020	YCOA	PPh Pasal 21 - Witholding Tax Art 21 (ID)	PPh Pasal 21 - Quellensteuer Art. 21 (ID)	2018.06.19 05:33:47										
0022090021	0022090021	YCOA	PPh Pasal 23 - Witholding Tax Art 23 (ID)	PPh Pasal 23 - Quellensteuer Art. 23 (ID)	2018.06.19 05:33:47										
0022090022	0022090022	YCOA	PPh Pasal 4(2) - Witholding Tax Art 4(2) (ID)	PPh Pasal 4(2) - Quellensteuer Art. 4(2) (ID)	2018.06.19 05:33:47										
0022090023	0022090023	YCOA	PPh Pasal 15 - Witholding Tax Art 15 (ID)	PPh Pasal 15 - Quellensteuer Art. 15 (ID)	2018.06.19 05:33:47										
0022090024	0022090024	YCOA	PPh Pasal 26 - Witholding Tax Art 26 (ID)	PPh Pasal 26 - Quellensteuer Art. 26 (ID)	2018.06.19 05:33:47										
0022090025	0022090025	YCOA	PPh Pasal 22 - Witholding Tax Art 22 (ID)	PPh Pasal 22 - Quellensteuer Art. 22 (ID)	2018.06.19 05:33:47										
0022100000	0022100000	YCOA	Acquisition Tax	Erwerbssteuer	2018.06.19 05:33:47										
0022140000	0022140000	YCOA	Output Tax (ICZ)	Ausgangssteuer (ICZ)	2018.06.19 05:33:47										
0022140700	0022140700	YCOA	PIx Brazil	PIx Brasilien	2018.06.19 05:33:47										
0022140900	0022140900	YCOA	COx Brazil	COx Brasilien	2018.06.19 05:33:47										
0022510000	0022510000	YCOA	Loans from Banks (no recon acct)	Bankdarlehen (kein Abstimmkonto)	2018.06.19 05:33:47										
0022512000	0022512000	YCOA	Loans from Banks Adjustments	Bankdarlehen - Berichtigungen	2018.06.19 05:33:47										
0023000000	0023000000	YCOA	Lease Liability - Land & Land Improvements (ROU)	Leasingverbindlichkeiten - Grundstücke u.ä. (ROU)	2018.06.19 05:33:47										
0023000100	0023000100	YCOA	Lease Liability - Buildings (ROU)	Leasingverbindlichkeiten - Gebäude (ROU)	2018.06.19 05:33:47										
